review,rating,sentiment
"The latest version of the app is the worse. The discount codes disappear shortly after you register them or don't work at all even though they are still valid (I tested them in my friend's phone who still had the old version and they worked just fine). My saved addresses also disappeared, as well as my old rides. The customer service should be easily reached through the app, like in the Uber app, but instead you have to send an email to the company (and probably never hear back or don't have you problem solved/a refund).",5,1
How do you get in touch with Customer Support for passengers?  I have an issue with my payment options and contacting a CSR is impossible.,5,1
"I had a terrible experience with this app. I used it in Rio to go to Botafogo from Leblon (that’s a 15 minutes ride without traffic) and the driver managed to get us in Rio Comprido. 

The driver was completely lost and didn’t know how to follow the GPS. 

Rio de Janeiro is a very dangerous city and this happened night time. I felt totally unsafe passing through very dangerous neighborhoods for almost an hour. 

When I made a complaint at the app, I got absolutely zero support or solution. They simply gave me back the money that had exceeded from the predicted fee. Needless to say I immediately deleted the app afterward.

******************************************

Eu tive uma péssima experiência com o aplicativo quando utilizei aqui no Rio, para ir do Leblon para Botafogo (uma viagem de aproximadamente 15 minutos sem trânsito) e o motorista conseguiu nos levar até Rio Comprido.

O motorista estava completamente perdido e não sabia seguir o GPS.

Rio de Janeiro é uma cidade muito perigosa e isso aconteceu de noite. Eu me senti completamente insegura passando por bairros perigosos por quase uma hora.

Quando fiz uma reclamação no aplicativo, não recebi nenhum apoio ou solução. Simplesmente estornaram o dinheiro que excedia a taxa/preço previsto para a viagem. Não preciso nem falar que apaguei o aplicativo imediatamente depois.",1,0
"Someone made an account on this app using my email address. I get all of their receipts, trip info, and customer service responses. And it’s not me. They don’t even have remotely the same name as me

I have emailed them several times to ask them to stop emailing me. They had me describe myself to prove it’s incorrect, and they’re still emailing me. They should at least have some sort of email verification to prove their emailing a valid email address. 

I downloaded this app just to give it a negative review. Maybe someone will finally listen and delete my email address because this is pathetic.",1,0
"The prices on 99 are always better than Uber. As far as using the app is concerned, it's been a decent experience. Cars arrive quickly and the app works as expected. There are a few issues that keep me from using it though. 

1. I don't have a Brazilian debit card and my foreign credit card doesn't work, even though I successfully added it as a payment option. I can only pay with cash, which leads me to #2...
2. The cash option quotes a price that is never accurate. It is just an estimate and the driver turns on the meter which always ends up higher than you expect. Very very misleading.
3. You can't split rides with friends like in Uber. This seems like a basic function that should be there.

If these things were addressed I would use this exclusively.",2,0
"Tired of drivers that simply cancel the rides after accepting it, sometimes several minutes after doing so. There should be some kind of punishment to them. Also getting rid of the annoying notification on app start would be a good idea",3,1
I had an issue about a ride in which the driver was 6 minutes away but kept accepting rides from other apps. I waited for almost 20 minutes when I had to cancel. Requested another ride and the driver didn’t move for five minutes. When I canceled they wanted to charge me. I made a complaint and they ask me to take screenshots for details about an issue that they have records on. Ridiculous,1,0
"I watched my girlfriend pay with pix, and the driver told us everything was fine and then when we exited the taxi a short while later, we were issued with a message that the trip we had just paid for with pix was told by the driver was unpaid for this is completely unacceptable. As we both sat there and watched the pix transaction be confirmed by the driver, and then say it was OK for us to exit his car.",1,0
"I don’t get it. You get millions in investment from Japanese and Chinese groups and your first real update is so bad. All my rides were lost, my favorite addresses disappeared and you no longer see which category cars are near you. This is a poor scheme to make us login, as if there were many cars around but in fact if you select top there will be little and some times none near you.",1,0
"I tried 99 as an alternative to Uber.
But to my overall disappointment, several rides I had to cancel after I noticed 99 drivers never moved after I requested their service.
And one of the few rides I manage to find a driver, he explained that he was waiting for me to cancel my request - that’s why it took so long for him to pick me up.
I do not recommend this device even to the ones I’m not fond of.

(Eu tenteio 99 como uma alternativa ao Uber.
Mas para meu desapontamento geral, várias corridas eu cancelei depois que notei que o motorista não movia o carro para me pegar após aceitar a corrida.
E numa das poucas vezes que consegui uma corrida, o motorista me explicou que a demora dele foi porque ele estava esperando que eu cancelasse a corrida.
Não recomento este serviço nem para aqueles que não são meus afetos.)",1,0
